Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Sep 02, 2018",14.345,14.7,14.73,14.24,2.17K,-2.69%,-2.475%
"Aug 26, 2018",14.742,15.06,15.19,14.735,0.78K,-2.23%,-2.157%
"Aug 19, 2018",15.079,14.985,15.105,14.825,0.88K,1.18%,0.623%
"Aug 12, 2018",14.903,15.49,15.53,14.705,0.44K,-4.38%,-3.939%
"Aug 05, 2018",15.585,15.635,15.8,15.58,0.67K,-1.00%,-0.321%
"Jul 29, 2018",15.742,15.805,15.86,15.56,0.42K,-0.21%,-0.400%
"Jul 22, 2018",15.775,15.69,15.88,15.655,0.25K,-0.44%,0.539%
"Jul 15, 2018",15.844,16.15,16.15,15.585,0.42K,-1.83%,-1.931%
"Jul 08, 2018",16.14,16.455,16.465,16.115,1.72K,-1.49%,-1.952%
"Jul 01, 2018",16.384,16.22,16.385,16.135,0.24K,-0.81%,1.001%
"Jun 24, 2018",16.518,16.815,16.815,16.33,0.05K,-2.07%,-1.798%
"Jun 17, 2018",16.867,16.88,16.88,16.73,0.02K,-0.14%,-0.077%
"Jun 10, 2018",16.891,17.48,17.48,17.48,0.06K,-1.59%,-3.487%
"Jun 03, 2018",17.164,17.265,17.265,17.265,0.27K,1.62%,-0.588%
"May 27, 2018",16.891,16.88,16.88,16.88,0.17K,2.49%,0.065%
"May 20, 2018",16.481,16.45,16.55,16.285,1.02K,-2.51%,0.188%
"May 13, 2018",16.906,16.72,16.83,16.72,0.01K,-1.82%,1.100%
"May 06, 2018",17.219,16.955,16.975,16.945,0.00K,1.44%,1.533%
"Apr 29, 2018",16.975,16.76,16.935,16.76,0.01K,0.11%,1.267%
"Apr 22, 2018",16.957,17.43,17.43,16.95,0.01K,-4.01%,-2.789%
"Apr 15, 2018",17.666,17.705,17.73,17.705,0.01K,2.85%,-0.221%
